CourseID,StudentID,CourseName,GPA,Semester Offer,CreditHour,Repeat Status,CourseTaken,Type
CL1000,21k-3076,Introduction to Information and Communication Technology,3,1,1,0,Fall,Core
CL1002,21k-3076,Programming Fundamentals - Lab,4,1,1,0,Fall,Core
CS1002,21k-3076,Programming Fundamentals,2.67,1,3,0,Fall,Core
MT1003,21k-3076,Calculus and Analytical Geometry,0,1,3,0,Fall,Core
MT1004,21k-3076,Linear Algebra,0,1,3,0,Fall,Core
SL1004,21k-3076,English Composition and Comprehension - Lab,1.67,1,1,0,Fall,Core
SS1004,21k-3076,Pakistan Studies,2,1,3,0,Fall,Core
SS1003,21k-3076,English Composition and Comprehension,1.67,1,2,0,Fall,Core
CL1004,21k-3076,Object Oriented Programming - Lab,4,2,1,0,Spring,Core
CS1004,21k-3076,Object Oriented Programming,3.33,2,3,0,Spring,Core
EE1005,21k-3076,Digital Logic Design,2.33,2,3,0,Spring,Core
EL1005,21k-3076,Digital Logic Design - Lab,3.67,2,1,0,Spring,Core
MT1003,21k-3076,Calculus and Analytical Geometry,3.33,2,3,1,Spring,Core
SL1008,21k-3076,Communication and Presentation Skills - Lab,3,2,1,0,Spring,Core
SS1002,21k-3076,Islamic Studies/Ethics,2.33,2,3,0,Spring,Core
SS1008,21k-3076,Communication and Presentation Skills,3,2,2,0,Spring,Core
