CourseID,StudentID,CourseName,GPA,Semester,CreditHour,Repeat Status,CourseTaken,Type
CL1000,21k-5678,Introduction to Information and Communication Technology,3.5,1,1,0,Fall,Core
CL1002,21k-5678,Programming Fundamentals - Lab,2.7,1,1,0,Fall,Core
CS1002,21k-5678,Programming Fundamentals,1.3,1,3,0,Fall,Core
MT1003,21k-5678,Calculus and Analytical Geometry,0.8,1,3,0,Fall,Core
MT1004,21k-5678,Linear Algebra,1.4,1,3,0,Fall,Core
SL1004,21k-5678,English Composition and Comprehension - Lab,3.7,1,1,0,Fall,Core
SS1004,21k-5678,Pakistan Studies,4.0,1,2,0,Fall,Core
SS1003,21k-5678,English Composition and Comprehension,3.9,1,3,0,Fall,Core
CL1004,21k-5678,Object Oriented Programming - Lab,2.3,2,1,0,Spring,Core
CS1004,21k-5678,Object Oriented Programming,2.4,2,3,0,Spring,Core
EE1005,21k-5678,Digital Logic Design,1.1,2,3,0,Spring,Core
EL1005,21k-5678,Digital Logic Design - Lab,2.6,2,1,0,Spring,Core
MT1003,21k-5678,Calculus and Analytical Geometry,2.2,2,3,1,Spring,Core
SL1008,21k-5678,Communication and Presentation Skills - Lab,4.0,2,1,0,Spring,Core
SS1002,21k-5678,Islamic Studies/Ethics,3.2,2,2,0,Spring,Core
SS1008,21k-5678,Communication and Presentation Skills,3.7,2,3,0,Spring,Core
EE1005,21k-5678,Digital Logic Design,2.1,S1,3,1,Summer,Core
EL1005,21k-5678,Digital Logic Design - Lab,3.4,S1,1,1,Summer,Core
AI2001,21k-5678,Programming for AI,2.8,3,3,0,Fall,Core
AL2001,21k-5678,Programming for AI - Lab,1.7,3,1,0,Fall,Core
CL2001,21k-5678,Data Structures - Lab,2.6,3,1,0,Fall,Core
CS1005,21k-5678,Discrete Structures,1.5,3,3,0,Fall,Core
CS2001,21k-5678,Data Structures,0.5,3,3,0,Fall,Core
MT2005,21k-5678,Probability and Statistics,1.0,3,3,0,Fall,Core
SS2003,21k-5678,Psychology,3.8,3,3,0,Fall,Elective
AI2002,21k-5678,Artificial Intelligence,2.2,4,3,0,Spring,Core
AL2002,21k-5678,Artificial Intelligence - Lab,2.9,4,1,0,Spring,Core
CL2001,21k-5678,Data Structures - Lab,1.5,4,1,1,Spring,Core
CS2001,21k-5678,Data Structures,1.9,4,3,1,Spring,Core
CS2004,21k-5678,Fundamentals of Software Engineering,1.7,4,3,0,Spring,Core
EE2003,21k-5678,Computer Organization and Assembly Language,1.2,4,3,0,Spring,Core
EL2003,21k-5678,Computer Organization and Assembly Language - Lab,2.3,4,1,0,Spring,Core
MT1006,21k-5678,Differential Equations,0.7,4,3,0,Spring,Core
EE2003,21k-5678,Computer Organization and Assembly Language,1.4,S2,3,1,Summer,Core
EL2003,21k-5678,Computer Organization and Assembly Language - Lab,2.1,S2,1,1,Summer,Core
MT1006,21k-5678,Differential Equations,1.3,S2,3,1,Summer,Core
CS1005,21k-5678,Discrete Structures,1.0,5,3,1,Fall,Core
EE2003,21k-5678,Computer Organization and Assembly Language,3.5,5,3,2,Fall,Core
EL2003,21k-5678,Computer Organization and Assembly Language - Lab,0.7,5,1,2,Fall,Core
MT2005,21k-5678,Probability and Statistics,1.6,5,3,1,Fall,Core
,,,,,,,,
