CourseID,StudentID,CourseName,GPA,Semester Offer,CreditHour,Repeat Status,CourseTaken,Type
CL1000,22k-6789,Introduction to Information and Communication Technology,3.21,1,1,0,Fall,Core
CL1002,22k-6789,Programming Fundamentals - Lab,2.75,1,1,0,Fall,Core
CS1002,22k-6789,Programming Fundamentals,1.5,1,3,0,Fall,Core
MT1003,22k-6789,Calculus and Analytical Geometry,0.5,1,3,0,Fall,Core
MT1004,22k-6789,Linear Algebra,1.25,1,3,0,Fall,Core
SL1004,22k-6789,English Composition and Comprehension - Lab,3.5,1,1,0,Fall,Core
SS1004,22k-6789,Pakistan Studies,3.8,1,2,0,Fall,Core
SS1003,22k-6789,English Composition and Comprehension,3.9,1,3,0,Fall,Core
CL1004,22k-6789,Object Oriented Programming - Lab,2.25,2,1,0,Spring,Core
CS1004,22k-6789,Object Oriented Programming,2.75,2,3,0,Spring,Core
EE1005,22k-6789,Digital Logic Design,1.5,2,3,0,Spring,Core
EL1005,22k-6789,Digital Logic Design - Lab,2.2,2,1,0,Spring,Core
MT1003,22k-6789,Calculus and Analytical Geometry,2.0,2,3,1,Spring,Core
SL1008,22k-6789,Communication and Presentation Skills - Lab,4.0,2,1,0,Spring,Core
SS1002,22k-6789,Islamic Studies/Ethics,3.6,2,2,0,Spring,Core
SS1008,22k-6789,Communication and Presentation Skills,3.9,2,3,0,Spring,Core
EE1005,22k-6789,Digital Logic Design,1.8,S1,3,1,Summer,Core
EL1005,22k-6789,Digital Logic Design - Lab,3.5,S1,1,1,Summer,Core
AI2001,22k-6789,Programming for AI,3.0,3,3,0,Fall,Core
AL2001,22k-6789,Programming for AI - Lab,2.1,3,1,0,Fall,Core
CL2001,22k-6789,Data Structures - Lab,2.7,3,1,0,Fall,Core
CS1005,22k-6789,Discrete Structures,1.2,3,3,0,Fall,Core
CS2001,22k-6789,Data Structures,0.8,3,3,0,Fall,Core
MT2005,22k-6789,Probability and Statistics,1.4,3,3,0,Fall,Core
SS2003,22k-6789,Psychology,3.9,3,3,0,Fall,Elective
AI2002,22k-6789,Artificial Intelligence,2.1,4,3,0,Spring,Core
AL2002,22k-6789,Artificial Intelligence - Lab,3.3,4,1,0,Spring,Core
CL2001,22k-6789,Data Structures - Lab,1.8,4,1,1,Spring,Core
CS2001,22k-6789,Data Structures,2.2,4,3,1,Spring,Core
CS2004,22k-6789,Fundamentals of Software Engineering,1.4,4,3,0,Spring,Core
EE2003,22k-6789,Computer Organization and Assembly Language,1.0,4,3,0,Spring,Core
EL2003,22k-6789,Computer Organization and Assembly Language - Lab,1.7,4,1,0,Spring,Core
MT1006,22k-6789,Differential Equations,0.9,4,3,0,Spring,Core
EE2003,22k-6789,Computer Organization and Assembly Language,1.2,S2,3,1,Summer,Core
EL2003,22k-6789,Computer Organization and Assembly Language - Lab,2.0,S2,1,1,Summer,Core
MT1006,22k-6789,Differential Equations,1.3,S2,3,1,Summer,Core
CS1005,22k-6789,Discrete Structures,0.7,5,3,1,Fall,Core
EE2003,22k-6789,Computer Organization and Assembly Language,3.5,5,3,2,Fall,Core
EL2003,22k-6789,Computer Organization and Assembly Language - Lab,0.5,5,1,2,Fall,Core
MT2005,22k-6789,Probability and Statistics,1.8,5,3,1,Fall,Core
